Date,Near Month,Far Month,,
31-Jan-20,12036.3,12074.2,37.9,
01-Feb-20,11700.5,11754.7,54.2,46.585
03-Feb-20,11743.15,11786.8,43.65,
04-Feb-20,11994.8,12036.6,41.8,
05-Feb-20,12109.2,12152.5,43.3,
06-Feb-20,12159.9,12203.4,43.5,
07-Feb-20,12117.6,12162.85,45.25,
10-Feb-20,12065.9,12114.15,48.25,
11-Feb-20,12150.6,12199.2,48.6,
12-Feb-20,12251.25,12295.2,43.95,
13-Feb-20,12193.6,12237.45,43.85,
14-Feb-20,12149.95,12199.55,49.6,
17-Feb-20,12087.5,12138,50.5,
18-Feb-20,12017,12072.35,55.35,
19-Feb-20,12147.35,12191.7,44.35,
20-Feb-20,12093.65,12139.6,45.95,
24-Feb-20,11835.45,11889.1,53.65,
25-Feb-20,11823.2,11865.45,42.25,
26-Feb-20,11699.35,11745.6,46.25,
27-Feb-20,11629.25,11678.8,49.55,
